source_col,input_cols,target_col
Start Time,Date<|>Time<|>ACC Team<|>Big Ten Team<|>Location<|>Television<|>Attendance<|>Winner<|>Challenge Leader,Time
Number of episode,DVD title<|>Number of Episodes<|>Region 2<|>Region 4 (AU)<|>Region 1 (US),Number of Episodes
Proto-Italo-Western 1,DVD title<|>Number of Episodes<|>Region 2<|>Region 4 (AU)<|>Region 1 (US),Region 1 (US)
"Area (1930) in 1,000skm 2",DVD title<|>Number of Episodes<|>Region 2<|>Region 4 (AU)<|>Region 1 (US),Region 4 (AU)
Year ended,Year<|>Coach<|>Crew<|>Record<|>Win %,Year
GAMES,Category<|>Player<|>Games played<|>Totals<|>Average,Games played
Region 1 (CAN),"s Car plate (starting 1937)<|>Voivodeship or city<|>Capital<|>Area (1930) in 1,000skm 2<|>Population (1931) in 1,000s","Area (1930) in 1,000skm 2"
Population (2000 census),"s Car plate (starting 1937)<|>Voivodeship or city<|>Capital<|>Area (1930) in 1,000skm 2<|>Population (1931) in 1,000s","Population (1931) in 1,000s"
Voivodeship Separate city,"s Car plate (starting 1937)<|>Voivodeship or city<|>Capital<|>Area (1930) in 1,000skm 2<|>Population (1931) in 1,000s",Voivodeship or city
Start Time,Elimination<|>Wrestler<|>Eliminated by<|>Elimination Move<|>Time,Time
Year ended,Rank<|>Name<|>Height m / ft<|>Floors<|>Year,Year
Name of ground,Name of Deity<|>Bhuta(Tatwa)<|>Name of the Stone (Sila)<|>Name of the River<|>Name of the State where found in India,Name of the Stone (Sila)
Kind of the song,Name of Deity<|>Bhuta(Tatwa)<|>Name of the Stone (Sila)<|>Name of the River<|>Name of the State where found in India,Name of the River
Second Leg,Team #1<|>Agg.<|>Team #2<|>1st leg<|>2nd leg,2nd leg
Year ended,Year<|>Channel<|>Play-by-play<|>Color commentator(s)<|>Courtside reporter<|>Studio host<|>Studio analysts,Year
Year ended,Year<|>A-Side<|>B-Side<|>Label<|>US Pop<|>Album,Year
Year ended,Year<|>Team<|>Player<|>Position<|>School,Year
High school,Year<|>Team<|>Player<|>Position<|>School,School
Year ended,Year<|>Division<|>League<|>Regular Season<|>Playoffs<|>Open Cup,Year
Series Ep.,No(s). in series<|>No(s). in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code(s)<|>U.S. viewers (millions),No(s). in series
Original Canadian air date,No(s). in series<|>No(s). in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code(s)<|>U.S. viewers (millions),Original air date
Original Canadian air date,No.<|>#<|>Title<|>Directed by<|>Written by<|>U.S. viewers (million)<|>Rank (week)<|>Original air date<|>Production code,Original air date
